event_name,wikipedia_url,scraped_at,date_raw,venue,venue_wiki_path,location,attendance,attendance_raw,gate_revenue,gate_raw,venue_capacity,sell_through,source,ppv_buys,event_date
UFC Fight Night: Lewis vs. Teixeira,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Lewis_vs._Teixeira,2025-12-07T15:20:31.494147,"July 12, 2025(2025-07-12)",Bridgestone Arena,/wiki/Bridgestone_Arena,"Nashville, Tennessee, United States",17007.0,"17,007[1]",2189826.0,"$2,189,826[1]",20000.0,0.85035,Wikipedia,,
UFC Fight Night: Hill vs. Rountree Jr.,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Hill_vs._Rountree_Jr.,2025-12-07T15:20:38.314480,"June 21, 2025(2025-06-21)",Baku Crystal Hall,/wiki/Baku_Crystal_Hall,"Baku, Azerbaijan",14424.0,"14,424[1]",1.0,Not announced[1],27000.0,0.5342222222222223,Wikipedia,,
UFC Fight Night: Sandhagen vs. Figueiredo,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Sandhagen_vs._Figueiredo,2025-12-07T15:20:57.178427,"May 3, 2025(2025-05-03)",Wells Fargo Arena,"/wiki/Wells_Fargo_Arena_(Des_Moines,_Iowa)","Des Moines,Iowa, United States",15627.0,"15,627[1]",2476690.0,"$2,476,690[1]",16980.0,0.9203180212014134,Wikipedia,,
UFC Fight Night: Moreno vs. Erceg,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Moreno_vs._Erceg,2025-12-07T15:21:09.430656,"March 29, 2025(2025-03-29)",Arena CDMX,/wiki/Arena_CDMX,"Mexico City, Mexico",19731.0,"19,731[1]",2530474.0,"$2,530,474[1]",22300.0,0.8847982062780269,Wikipedia,,
UFC Fight Night: Edwards vs. Brady,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Edwards_vs._Brady,2025-12-07T15:21:12.988041,"March 22, 2025(2025-03-22)",The O2Arena,/wiki/The_O2_Arena,"London, England",18583.0,"18,583[1]",4711410.0,"$4,711,410[1]",20000.0,0.92915,Wikipedia,,
UFC Fight Night: Cejudo vs. Song,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Cejudo_vs._Song,2025-12-07T15:21:24.960116,"February 22, 2025(2025-02-22)",Climate Pledge Arena,/wiki/Climate_Pledge_Arena,"Seattle, Washington, United States",18287.0,"18,287[1]",3841751.94,"$3,841,751.94[1]",18300.0,0.9992896174863388,Wikipedia,,
UFC Fight Night: Yan vs. Figueiredo,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Yan_vs._Figueiredo,2025-12-07T15:21:50.360042,"November 23, 2024(2024-11-23)",Galaxy Arena,/wiki/Galaxy_Macau#Other_developments,"MacauSAR, China",12615.0,"12,615[1]",1.0,Not announced[1],,,Wikipedia,,
UFC Fight Night: Moreno vs. Albazi,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Moreno_vs._Albazi,2025-12-07T15:22:00.269097,"November 2, 2024(2024-11-02)",Rogers Place,/wiki/Rogers_Place,"Edmonton,Alberta, Canada",16439.0,"16,439[1]",2600463.0,"$2,600,463[1]",20734.0,0.7928523198610977,Wikipedia,,
UFC Fight Night: Moicano vs. Saint Denis,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Moicano_vs._Saint_Denis,2025-12-07T15:22:16.307267,"September 28, 2024(2024-09-28)",Accor Arena,/wiki/Accor_Arena,"Paris, France",15449.0,"15,449[1]",4000000.0,"$4,000,000[1]",20300.0,0.7610344827586207,Wikipedia,,
UFC 304: Edwards vs. Muhammad 2,https://en.wikipedia.org/wiki/UFC_304%3A_Edwards_vs._Muhammad_2,2025-12-07T15:22:39.692401,"July 27, 2024(2024-07-27)",Co-op Live,/wiki/Co-op_Live,"Manchester, England",17907.0,"17,907[1]",6720000.0,"$6,720,000[1]",23500.0,0.762,Wikipedia,,
