wikipedia_url,scraped_at,event_name,date_raw,event_date,venue,venue_wiki_path,location,attendance,attendance_raw,ppv_buys,ppv_buys_raw,venue_capacity,gate_revenue,gate_raw,sell_through
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Walker_vs._Hill,2025-12-11T18:57:09.967980,UFC Fight Night: Walker vs. Hill,"February 19, 2022(2022-02-19)",2022-02-19,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_271,2025-12-11T18:57:11.987072,UFC 271,"February 12, 2022(2022-02-12)",2022-02-12,Toyota Center,/wiki/Toyota_Center,"Houston, Texas, United States",17872.0,"17,872[1]",,,19000.0,4300000.0,"$4,300,000[1]",0.9406315789473684
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Hermansson_vs._Strickland,2025-12-11T18:57:13.997166,UFC Fight Night: Hermansson vs. Strickland,"February 5, 2022(2022-02-05)",2022-02-05,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_270,2025-12-11T18:57:15.977739,UFC 270,"January 22, 2022(2022-01-22)",2022-01-22,Honda Center,/wiki/Honda_Center,"Anaheim, California, United States",17387.0,"17,387[1]",,,18900.0,5290213.0,"$5,290,213[1]",0.91994708994709
https://en.wikipedia.org/wiki/UFC_on_ESPN:_Kattar_vs._Chikadze,2025-12-11T18:57:18.041224,UFC on ESPN: Kattar vs. Chikadze,"January 15, 2022(2022-01-15)",2022-01-15,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lewis_vs._Daukaus,2025-12-11T18:57:20.038285,UFC Fight Night: Lewis vs. Daukaus,"December 18, 2021(2021-12-18)",2021-12-18,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_269,2025-12-11T18:57:21.949862,UFC 269,"December 11, 2021(2021-12-11)",2021-12-11,T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise,Nevada, United States",18471.0,"18,471[1]",500000.0,"500,000[2]",20000.0,8000000.0,"$8,000,000[1]",0.92355
https://en.wikipedia.org/wiki/UFC_on_ESPN:_Font_vs._Aldo,2025-12-11T18:57:24.041727,UFC on ESPN: Font vs. Aldo,"December 4, 2021(2021-12-04)",2021-12-04,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Vieira_vs._Tate,2025-12-11T18:57:26.094500,UFC Fight Night: Vieira vs. Tate,"November 20, 2021(2021-11-20)",2021-11-20,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holloway_vs._Rodr%C3%ADguez,2025-12-11T18:57:28.206322,UFC Fight Night: Holloway vs. Rodríguez,"November 13, 2021(2021-11-13)",2021-11-13,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_268,2025-12-11T18:57:30.196899,UFC 268,"November 6, 2021(2021-11-06)",2021-11-06,Madison Square Garden,/wiki/Madison_Square_Garden,"New York City,New York, United States",20715.0,"20,715[1]",700000.0,"700,000(US)[2]",22000.0,9800000.0,"$9,800,000[1]",0.9415909090909091
https://en.wikipedia.org/wiki/UFC_267,2025-12-11T18:57:32.249617,UFC 267,"October 30, 2021(2021-10-30)",2021-10-30,Etihad Arena,/wiki/Etihad_Arena,"Abu Dhabi, United Arab Emirates",10171.0,"10,171[1]",,,18000.0,,,0.5650555555555555
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Costa_vs._Vettori,2025-12-11T18:57:34.170716,UFC Fight Night: Costa vs. Vettori,"October 23, 2021(2021-10-23)",2021-10-23,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Ladd_vs._Dumont,2025-12-11T18:57:36.212438,UFC Fight Night: Ladd vs. Dumont,"October 16, 2021(2021-10-16)",2021-10-16,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Dern_vs._Rodriguez,2025-12-11T18:57:38.299453,UFC Fight Night: Dern vs. Rodriguez,"October 9, 2021(2021-10-09)",2021-10-09,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_Fight_Night:_Santos_vs._Walker,2025-12-11T18:57:40.320831,UFC Fight Night: Santos vs. Walker,"October 2, 2021(2021-10-02)",2021-10-02,UFC Apex,/wiki/UFC_Apex,"Enterprise, Nevada, United States",1.0,Not announced[1],,,1000.0,,,0.001
https://en.wikipedia.org/wiki/UFC_266,2025-12-11T18:57:42.341408,UFC 266,"September 25, 2021(2021-09-25)",2021-09-25,T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada, United States",19029.0,"19,029[1]",,,20000.0,5609906.0,"$5,609,906[1]",0.95145
